Species,Family,SVL,TL,Weight,Zone,Year of sampling,Soil moisture,Soil pH,Temperature,Humidity,Season,Duration_of_sampling,Method
Microhyla berdmorei,Microhylidae,32,21,12,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Leptobrachium ingeri,Megophryidae,27,10,1,Controlled,2017,2.803,6.4,27.775,82.038,Wet,480,Line transects in streams and trails
Leptobrachium ingeri,Megophryidae,49,20,9,Controlled,2017,2.803,6.4,27.775,82.038,Wet,480,Line transects in streams and trails
Leptobrachium ingeri,Megophryidae,38.92,15.13,5.33,Controlled,2017,2.803,6.4,27.775,82.038,Wet,480,Line transects in streams and trails
Leptobrachium ingeri,Megophryidae,36.19,14.44,12.81,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Leptobrachium ingeri,Megophryidae,40.06,16.23,15.37,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Leptobrachium ingeri,Megophryidae,32.32,12.65,10.25,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Leptobrachium ingeri,Megophryidae,30,11,4,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Leptobrachium ingeri,Megophryidae,43,17,16,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Leptobrachium ingeri,Megophryidae,32.56,12.81,4.25,Moderately disturbed,2015,N/a,N/a,N/a,N/a,Wet,312,"Line transects in streams, trails and swamps"
Leptobrachium ingeri,Megophryidae,28,11,1.85,Moderately disturbed,2015,N/a,N/a,N/a,N/a,Wet,312,"Line transects in streams, trails and swamps"
Leptobrachium ingeri,Megophryidae,35,13,4.35,Moderately disturbed,2015,N/a,N/a,N/a,N/a,Wet,312,"Line transects in streams, trails and swamps"
Leptobrachium ingeri,Megophryidae,30,12,2,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Leptobrachium ingeri,Megophryidae,40.5,16.5,7,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Leptobrachium ingeri,Megophryidae,28,12,2,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Leptobrachium ingeri,Megophryidae,25,11,2,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Leptobrachium ingeri,Megophryidae,35,13,4,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Leptobrachium ingeri,Megophryidae,44,16,8,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Ingerophrynus parvus,Bufonidae,27,10,1,Controlled,2017,2.803,6.4,27.775,82.038,Wet,480,Line transects in streams and trails
Ingerophrynus parvus,Bufonidae,49,20,9,Controlled,2017,2.803,6.4,27.775,82.038,Wet,480,Line transects in streams and trails
Ingerophrynus parvus,Bufonidae,38.92,15.13,5.33,Controlled,2017,2.803,6.4,27.775,82.038,Wet,480,Line transects in streams and trails
Ingerophrynus parvus,Bufonidae,34,14,4,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Ingerophrynus parvus,Bufonidae,39,14,4,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Ingerophrynus parvus,Bufonidae,29,11,3,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Ingerophrynus parvus,Bufonidae,42,16,8,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Ingerophrynus parvus,Bufonidae,32.5,12.5,3,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Ingerophrynus parvus,Bufonidae,30.2,11.5,3,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Ingerophrynus parvus,Bufonidae,33,12.5,3.46,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Ingerophrynus parvus,Bufonidae,35.6,14,4,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
