Species,Family,SVL,TL,Weight,log_adjusted_boxcox_BCI,Zone,Year of sampling,Soil moisture,Soil pH,Temperature,Humidity,Season,Duration_of_sampling,Method
Ingerophrynus parvus,Bufonidae,34,14,4,4.414241057,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Ingerophrynus parvus,Bufonidae,39,14,4,3.898288835,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Ingerophrynus parvus,Bufonidae,29,11,3,4.635154193,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Ingerophrynus parvus,Bufonidae,42,16,8,4.484179722,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Ingerophrynus parvus,Bufonidae,32.5,12.5,3,4.229982315,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Ingerophrynus parvus,Bufonidae,30.2,11.5,3,4.494327492,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Ingerophrynus parvus,Bufonidae,33,12.5,3.46,4.347908828,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Ingerophrynus parvus,Bufonidae,35.6,14,4,4.247652548,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Ingerophrynus parvus,Bufonidae,37.14,16,5,4.364260073,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Ingerophrynus parvus,Bufonidae,34,14.5,3.5,4.25308121,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Ingerophrynus parvus,Bufonidae,36.91,15,8.09,4.935622563,Controlled,2017,2.803,6.4,27.775,82.038,Wet,480,Line transects in streams and trails
Ingerophrynus parvus,Bufonidae,27,12,4,5.187669334,Controlled,2017,2.803,6.4,27.775,82.038,Wet,480,Line transects in streams and trails
Ingerophrynus parvus,Bufonidae,45,18,16,5.030862857,Controlled,2017,2.803,6.4,27.775,82.038,Wet,480,Line transects in streams and trails
Ingerophrynus parvus,Bufonidae,24.25,11.13,11.5,6.54758037,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Ingerophrynus parvus,Bufonidae,21,9,11,6.890658328,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Ingerophrynus parvus,Bufonidae,30,14,12,5.984393238,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Ingerophrynus parvus,Bufonidae,27.79,12.86,12.03,6.208341994,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Ingerophrynus parvus,Bufonidae,20.71,9.4,10.97,6.924017155,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Kalophrynus palmatissimus,Microhylidae,32,13,3,4.286963828,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
